flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
362327	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362328	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362329	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362335	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362420	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362421	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362422	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362423	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362424	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362425	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362430	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362431	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362432	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362433	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362434	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362516	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362517	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362518	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362519	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362520	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362521	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362522	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362526	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362527	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362528	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362529	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362530	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362531	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362532	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362613	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362614	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362615	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362616	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362617	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362618	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362622	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362623	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
