flat_idx	key	within_idx	label	i	j	k	x	y	z
362710	1	226	Tian_Subcortex	32	59	27	-32.5	-14.5	-24.5
362711	1	227	Tian_Subcortex	32	59	28	-32.5	-14.5	-22.5
362712	1	228	Tian_Subcortex	32	59	29	-32.5	-14.5	-20.5
362713	1	229	Tian_Subcortex	32	59	30	-32.5	-14.5	-18.5
362714	1	230	Tian_Subcortex	32	59	31	-32.5	-14.5	-16.5
362718	1	231	Tian_Subcortex	32	59	35	-32.5	-14.5	-8.5
362719	1	232	Tian_Subcortex	32	59	36	-32.5	-14.5	-6.5
362720	1	233	Tian_Subcortex	32	59	37	-32.5	-14.5	-4.5
362721	1	234	Tian_Subcortex	32	59	38	-32.5	-14.5	-2.5
362722	1	235	Tian_Subcortex	32	59	39	-32.5	-14.5	-0.5
362723	1	236	Tian_Subcortex	32	59	40	-32.5	-14.5	1.5
362724	1	237	Tian_Subcortex	32	59	41	-32.5	-14.5	3.5
362725	1	238	Tian_Subcortex	32	59	42	-32.5	-14.5	5.5
362726	1	239	Tian_Subcortex	32	59	43	-32.5	-14.5	7.5
362805	1	240	Tian_Subcortex	32	60	25	-32.5	-12.5	-28.5
362806	1	241	Tian_Subcortex	32	60	26	-32.5	-12.5	-26.5
362807	1	242	Tian_Subcortex	32	60	27	-32.5	-12.5	-24.5
362808	1	243	Tian_Subcortex	32	60	28	-32.5	-12.5	-22.5
362809	1	244	Tian_Subcortex	32	60	29	-32.5	-12.5	-20.5
362810	1	245	Tian_Subcortex	32	60	30	-32.5	-12.5	-18.5
362811	1	246	Tian_Subcortex	32	60	31	-32.5	-12.5	-16.5
362814	1	247	Tian_Subcortex	32	60	34	-32.5	-12.5	-10.5
362815	1	248	Tian_Subcortex	32	60	35	-32.5	-12.5	-8.5
362816	1	249	Tian_Subcortex	32	60	36	-32.5	-12.5	-6.5
362817	1	250	Tian_Subcortex	32	60	37	-32.5	-12.5	-4.5
362818	1	251	Tian_Subcortex	32	60	38	-32.5	-12.5	-2.5
362819	1	252	Tian_Subcortex	32	60	39	-32.5	-12.5	-0.5
362820	1	253	Tian_Subcortex	32	60	40	-32.5	-12.5	1.5
